id,X,Y,Z,N1,N2,N3,N4,N5,N6,N7,N8,W1,W2,W3,W4,W5,W6,W7,W8,W9,W0,F1,F2,Electricity,Start_Time,Phone_MAC,Phone_Brand,Phone_Android,Scan_Duration,Scan_Interval,Tx_Power
1,90,30,0,-76,-72,-81,-86,-82,-90,-76,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021-12-28 15:51:40,B4:0B:44:F3:74:66,smartisan,7.1.1,29966,0,0
2,90,30,0,-70,-71,-77,-80,-110,-89,-76,-75,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100000100100100000000000000000000000000000000000000,2021-12-28 15:51:40,B4:0B:44:F3:74:66,smartisan,7.1.1,29966,0,0
3,90,30,0,-84,-69,-80,-110,-110,-85,-82,-74,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100000000100100100000000000000000000000000000000000000,2021-12-28 15:51:40,B4:0B:44:F3:74:66,smartisan,7.1.1,29966,0,0
4,90,30,0,-85,-68,-80,-88,-90,-79,-75,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021-12-28 15:57:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29939,0,0
5,90,30,0,-85,-74,-80,-75,-85,-84,-76,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021-12-28 15:57:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29939,0,0
6,90,30,0,-76,-70,-80,-74,-82,-82,-78,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021-12-28 15:57:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29939,0,0
7,90,30,0,-75,-73,-82,-81,-84,-81,-88,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021-12-28 15:57:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29939,0,0
8,90,30,0,-74,-110,-79,-82,-83,-81,-88,-89,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100000100100100100100100000000000000000000000000000000000000,2021-12-28 15:57:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29939,0,0
9,90,30,0,-74,-110,-72,-110,-81,-82,-110,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100000100000100100000100000000000000000000000000000000000000,2021-12-28 15:57:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29939,0,0
10,90,30,0,-79,-70,-77,-75,-86,-82,-74,-73,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021-12-28 15:59:24,B4:0B:44:F3:74:66,smartisan,7.1.1,29850,0,0
11,90,30,0,-82,-69,-74,-86,-86,-92,-80,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021-12-28 15:59:24,B4:0B:44:F3:74:66,smartisan,7.1.1,29850,0,0
12,90,30,0,-75,-69,-78,-74,-77,-81,-80,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021-12-28 15:59:24,B4:0B:44:F3:74:66,smartisan,7.1.1,29850,0,0
13,90,30,0,-71,-69,-79,-77,-83,-83,-81,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021-12-28 15:59:24,B4:0B:44:F3:74:66,smartisan,7.1.1,29850,0,0
14,90,30,0,-71,-75,-75,-110,-83,-80,-80,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100000100100100100000000000000000000000000000000000000,2021-12-28 15:59:24,B4:0B:44:F3:74:66,smartisan,7.1.1,29850,0,0
