X,Y,Z,N1,N2,N3,N4,N5,N6,N7,N8,W1,W2,W3,W4,W5,W6,W7,W8,W9,W0,F1,F2,Electricity,Start_Time,Phone_MAC,Phone_Brand,Phone_Android,Scan_Duration,Scan_Interval,Tx_Power,TRUE,t_cluster,t_sort,f_cluster,f_sort
90,30,0,-85,-68,-80,-88,-90,-79,-75,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 15:57,B4:0B:44:F3:74:66,smartisan,7.1.1,29939,0,0,9030,0,0,8,2
90,30,0,-85,-74,-80,-75,-85,-84,-76,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 15:57,B4:0B:44:F3:74:66,smartisan,7.1.1,29939,0,0,9030,0,0,8,2
90,30,0,-76,-70,-80,-74,-82,-82,-78,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 15:57,B4:0B:44:F3:74:66,smartisan,7.1.1,29939,0,0,9030,0,0,8,2
90,30,0,-75,-73,-82,-81,-84,-81,-88,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 15:57,B4:0B:44:F3:74:66,smartisan,7.1.1,29939,0,0,9030,0,0,1,1
90,30,0,-79,-70,-77,-75,-86,-82,-74,-73,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 15:59,B4:0B:44:F3:74:66,smartisan,7.1.1,29850,0,0,9030,0,0,8,2
90,30,0,-75,-69,-78,-74,-77,-81,-80,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 15:59,B4:0B:44:F3:74:66,smartisan,7.1.1,29850,0,0,9030,0,0,4,0
90,30,0,-71,-69,-79,-77,-83,-83,-81,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 15:59,B4:0B:44:F3:74:66,smartisan,7.1.1,29850,0,0,9030,0,0,4,0
90,30,0,-72,-72,-79,-78,-81,-78,-72,-74,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:00,B4:0B:44:F3:74:66,smartisan,7.1.1,29640,0,0,9030,0,0,1,1
90,30,0,-72,-76,-79,-79,-79,-79,-75,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:00,B4:0B:44:F3:74:66,smartisan,7.1.1,29640,0,0,9030,0,0,1,1
90,30,0,-69,-72,-80,-81,-90,-79,-76,-77,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:00,B4:0B:44:F3:74:66,smartisan,7.1.1,29640,0,0,9030,0,0,1,1
90,30,0,-71,-72,-77,-78,-79,-84,-72,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:00,B4:0B:44:F3:74:66,smartisan,7.1.1,29640,0,0,9030,0,0,4,0
90,30,0,-72,-77,-83,-86,-86,-77,-82,-71,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:01,B4:0B:44:F3:74:66,smartisan,7.1.1,29889,0,0,9030,0,0,1,1
90,30,0,-73,-72,-81,-87,-91,-74,-70,-71,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:01,B4:0B:44:F3:74:66,smartisan,7.1.1,29889,0,0,9030,0,0,1,1
90,30,0,-77,-73,-74,-75,-78,-74,-71,-92,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:01,B4:0B:44:F3:74:66,smartisan,7.1.1,29889,0,0,9030,0,0,4,0
90,30,0,-74,-77,-81,-76,-85,-79,-78,-84,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:24,B4:0B:44:F3:74:66,smartisan,7.1.1,29929,0,0,9030,0,0,4,0
90,30,0,-77,-71,-82,-78,-85,-74,-74,-81,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:24,B4:0B:44:F3:74:66,smartisan,7.1.1,29929,0,0,9030,0,0,4,0
90,30,0,-79,-73,-82,-79,-80,-74,-75,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:24,B4:0B:44:F3:74:66,smartisan,7.1.1,29929,0,0,9030,0,0,4,0
90,30,0,-75,-79,-86,-80,-88,-73,-74,-77,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:24,B4:0B:44:F3:74:66,smartisan,7.1.1,29929,0,0,9030,0,0,1,1
90,30,0,-73,-82,-79,-82,-86,-78,-77,-72,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:25,B4:0B:44:F3:74:66,smartisan,7.1.1,29953,0,0,9030,0,0,1,1
90,30,0,-84,-83,-86,-82,-89,-75,-83,-72,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:25,B4:0B:44:F3:74:66,smartisan,7.1.1,29953,0,0,9030,1,1,1,1
90,30,0,-83,-79,-86,-80,-88,-75,-78,-72,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:25,B4:0B:44:F3:74:66,smartisan,7.1.1,29953,0,0,9030,0,0,1,1
90,30,0,-86,-76,-79,-82,-82,-79,-76,-71,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:25,B4:0B:44:F3:74:66,smartisan,7.1.1,29953,0,0,9030,0,0,8,2
90,30,0,-84,-91,-80,-91,-80,-80,-77,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29753,0,0,9030,1,1,3,4
90,30,0,-93,-77,-78,-86,-84,-79,-78,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29753,0,0,9030,1,1,2,5
90,30,0,-79,-77,-79,-80,-86,-80,-76,-75,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29753,0,0,9030,0,0,1,1
90,30,0,-81,-77,-80,-93,-81,-80,-76,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29753,0,0,9030,1,1,3,4
